KR1a0095	易經存疑-明-林希元
KR1a0084	易精蘊大義-元-解蒙
KR6p0048	樂邦文類-宋-宗曉
KR5h0042	易因上下經--李贄
KR4f0005	御製詩集-清-高宗弘曆
KR2k0012	淳熙三山志-宋-梁克家
KR6h0019	地藏本願經科註-清-靈椉
KR1a0074	周易程朱傳義折衷-元-趙采
KR4h0134	漢魏六朝百三家集-明-張溥
KR6r0061	新修科分六學僧傳-元-曇噩
KR5c0358	玄天上帝啟聖錄-元-
KR6d0072	法華經科註-元-徐行善
KR1a0089	周易參義-元-梁寅
KR6p0070	淨土生無生論註-明-正寂
KR6g0017	涅槃經疏私記-唐-行滿
KR6q0214	雲棲法彙（選錄）-明-袾宏
KR6d0160	法華十妙不二門示珠指-宋-源清
KR3e0079	本草綱目-明-李時珍
KR2k0036	欽定日下舊聞考-清-于敏中
KR6r0089	華嚴經持驗記-清-周克復
KR6j0673	首楞嚴義疏注經-宋-子璿
KR3h0062	祕殿珠林-清-張照
KR3a0078	性理大全書-明-胡廣
KR1a0075	周易衍義-元-胡震
KR6p0025	阿彌陀經要解便蒙鈔-明-智旭
KR6d0022	法華經文句纂要-清-道霈
KR6j0699	楞嚴經直指-明-圅昰
KR1a0133	周易觀彖-清-李光地
KR6p0104	徑中徑又徑-清-張師誠
KR6p0101	徹悟禪師語錄-清-了亮
KR3a0105	御定孝經衍義-清-葉方藹
KR6d0073	法華經科註-明-一如
KR5i0013	太上感應篇箋注--
KR3k0030	古今合璧事類備要-宋-謝維新
KR3a0084	因知記-明-羅欽訓
KR2k0078	行水金鑑-清-傅澤洪
KR5b0080	洞玄靈寶自然九天生神章經解義--董思靖
KR6p0088	淨土生無生論會集-清-達默
KR2k0046	湖廣通志-清-邁柱
KR2k0050	陝西通志-清-劉於義
KR4d0472	蘭軒集-元-王旭
KR6d0158	十不二門指要鈔-宋-知禮
KR1a0037	楊氏易傳-宋-楊簡
KR5g0034	道門科範大全集--杜光庭
KR5g0030	上清靈寶大法(一)--王契真
KR2k0008	明一統志-明-李賢
KR6e0120	華嚴懸談會玄記-元-普瑞
